LifeStage,lifestage_cor
sk.comp.oss.,Adult
sk.dbl.,Juvenile
sk.double,Juvenile
sk.doubled,Juvenile
sk.fully oss.,Adult
sk.imm.,Juvenile
sk.less than 1/4oss.,Juvenile
sk.n.f.oss.,Juvenile
Sk.Not Comp. Oss,Juvenile
Sk.Not Comp.Oss.,Juvenile
sk.not oss.,Juvenile
sk.os.,Adult
sk.oss.,Adult
sk.part oss.,Juvenile
sk.part.oss.,Juvenile
sk.partly oss.,Juvenile
sk.pneumatized,Juvenile
sk.single,Juvenile
sk.single ntl,Juvenile
sk.unoss.,Juvenile
sk.unossif.,Juvenile
sk.wind.,Juvenile
sk.wind. 3x1mm,Juvenile
sk.wind. 3x2mm,Juvenile
sk.wind. 4x2mm,Juvenile
sk.wind. 4x2mm.,Juvenile
sk?,Juvenile
skull,Juvenile
SKULL 1/5 OSSIFIED,Juvenile
Skull 100% oss,Adult
Skull 100% oss.,Adult
Skull 100% ossified,Adult
skull 100% ossified,Adult
Skull 100% ossified.,Adult
skull 15 % ossified,Juvenile
Skull 25% ossified,Juvenile
skull 30% ossified,Juvenile
Skull 50% oss,Juvenile
SKULL 70 % OSSIFIED,Juvenile
skull 70% ossified,Juvenile
SKULL 75% OSS.,Juvenile
Skull 80% oss,Juvenile
SKULL COMPLETELY OSSIFIED,Adult
skull completely ossified,Juvenile
skull double,NS
skull doubled,NS
skull fully ossifed,Adult
skull fully ossified,Adult
Skull fully ossified,Adult
skull has half windows,Juvenile
skull mostly ossified,Adult
SKULL NOT COMPLETELY OSSIFIED,Juvenile
skull not completely ossified,Juvenile
SKULL NOT COMPLETELY PNEUMATICIZ,Juvenile
skull not fully ossified,Juvenile
Skull Not Oss.,Juvenile
skull not ossified,Juvenile
skull not pneumatized,Juvenile
skull not pneumatized at all,Juvenile
skull open,Juvenile
Skull Oss.,Adult
skull ossified,Adult
Skull ossified,Adult
SKULL OSSIFIED,Adult
skull single,Juvenile
skull unossifed,Juvenile
skull unossified,Juvenile
skull unossified-pre-fledge,Juvenile
skull well ossified,Adult
skull windows,NS
skull windows anteriorly,NS
sl. ad.,NS
sm.sk.wind.,NS
sm.sk.winds.,NS
small frontal skull windows,NS
small sk.wind.,NS
small skull windows,NS
Small skull windows.,nn
small to medium skull windows,n
sm-med.sk.wind.,n
snco,n
SUB ADULT BY PLUMAGE,Adult
subad.,Adult
Subad.,Adult
subad.sk.pt.os.,Adult
subadult,Adult
Subadult,Adult
Sub-adult,Adult
sub-adult,Adult
SY,Juvenile
sy,Juvenile
SY ?,Juvenile
thin skull,Juvenile
third year,Juvenile
Tiny posterior skull windows.,Juvenile
tiny sk.wind.,Juvenile
tiny sk.winds.,Juvenile
U,Juvenile
u a.,Juvenile
u ad,Juvenile
u ad.,Juvenile
u ad.sk.,Juvenile
u d,Juvenile
u d.,Juvenile
u hatchling,Juvenile
u imm,Juvenile
u imm.,Juvenile
u juv.,Juvenile
u juv.?,Juvenile
u sd,Juvenile
u sk.shot,Juvenile
uad,Adult
U-Ad,Adult
U-AD,Adult
uad.,Adult
U-Ad.,Adult
U-Ad.; Imm.,Juvenile
U-Ad.; S.O.,Juvenile
U-Ad.; Sk.Oss.,Adult
U-Fledgling,Juvenile
U-Imm,Juvenile
U-Imm.,Juvenile
U-Imm?,Juvenile
U-Juv.,Juvenile
U-Juv.; Sk.Unos.,Juvenile
U-Juv.; Sk.Unoss,Juvenile
unable to determine,NS
U-Nestling,Juvenile
unknown,NS
Unknown,NS
unossified,NS
unossified skull,NS
unossified; Immature,NS
U-Subad,NS
very large skull windows,NS
y,Juvenile
yg.,Juvenile
young,Juvenile
Young,Juvenile
young adult,Juvenile
young of year,Juvenile
,NS
adult; juvenile,NS
800,NS
192,NS
386,NS
287,NS
407,NS
676,NS
neonate,Juvenile
larva,Juvenile
4.5 mo old,Juvenile
1 mo,Juvenile
juv?,
U-Ad.; Sk.Os.,Juvenile
Nestling; 8-9 Da,Juvenile
Skull not oss,Juvenile
skull ?,Juvenile
Skull oss,Adult
Skull not completely ossified,Juvenile
Adult SFO,Adult
skull ossified (I think),Adult
Skull fully ossified Juv,Adult
ossified skull with two windows,Adult
Skull 100& oss.,Adult
adult skull?,Adult
skull ossified 100%,Adult
Skull not ossified,Juvenile
Skull not completely ossified.,Juvenile
partly ossified skull,Juvenile
ossified skull,Adult
fully ossified skull,Adult
SKULL UNOSSIFIED,Juvenile
Skull: oss.,Adult
Fr,Juvenile
is,Juvenile
SUBADULT,Adult
ad. yearling,Adult
m,Juvenile
1 Yr.,Juvenile
LETELY OSSIFIED,Adult
imm..,Juvenile
u af,Juvenile
skull 1 layer,Juvenile
"PROBABLY IMMATURE, SKULL NOT COM",Adult
tiny skull windows,NS
hatchyear,NS
sk. not os.,NS
sk. single,NS
sk.nearly oss.,Adult
tiny skull windows?,NS
sk. sngl.,Juvenile
tiny,Juvenile
thick sk.,Juvenile
thin sk.,Juvenile
small frontal skull windows?,Juvenile
small - medium skull windows,Juvenile
larval,Juvenile
Subad,Adult
subad,Adult
107 days,Juvenile
144 days,Juvenile
83 days,Juvenile
341 days,Juvenile
adult ovary,Adult
full,Adult
1447,NS
SKULL 50 %,Juvenile
adult adult,Adult
open skull,Juvenile
full skull windows,Adult
ad.sk.oss.,Adult
1/2 windows,Juvenile
U-1St Yr?,Juvenile
ADULT; SKULL COMPLETELY OSSIFIED,Adult
immatue,Juvenile
open skull windows,Juvenile
sk.1/2 oss.,Juvenile
ad sk.,Adult
no bursa,NS
"FLEDGLING, SKULL NOT OSSIFIED",Juvenile
Yg,Juvenile
first-year,Juvenile
first year?,Juvenile
immature to adult,Juvenile
sk. 1-layer,Juvenile
Adult?,Adult
Not Reported,NS
chicks,Juvenile
