"SpName","modelName","pval","adjRsquare","MinMass_used","MaxMass_used","Mean_used","include_bio1","bio1_mean","bio1_breadth","include_bio12","bio12_mean","bio12_breadth","include_bio4","bio4_mean","bio4_breadth","include_bio15","bio15_mean","bio15_breadth"
"Accipiter_cooperii","m10",4.3e-76,0.470411848,94.6,672,371.838079521453,"Y",114.042760600744,208,"Y",758.220047179711,1429,"N",8013.08837381106,9997,"Y",43.0311251773436,91
"Accipiter_gentilis","m8",8.53e-17,0.345816275,274.8,1450,897.085048076923,"Y",51.2234751774099,173,"Y",724.913991129868,1588,"Y",9523.9143497286,8724,"Y",39.1944123796583,65
"Aegolius_acadicus","m8",2.57e-05,0.095941059,49,142,79.0547636363636,"Y",64.9984058386943,139,"Y",789.9571776013,1825,"Y",9055.48375568483,9019,"Y",37.4609996082678,74
"Aimophila_ruficeps","m8",1.56e-08,0.140946251,11.4,28.3,18.8414141414141,"N",158.819756538629,140,"Y",572.935383945615,1062,"Y",5925.8248719065,7287,"N",70.3941344898028,80
"Ammospermophilus_leucurus","m10",0.002521294,0.048829169,28.2,145,87.8245751633987,"Y",140.637464788732,148,"Y",220.763541247485,335,"N",7423.34645875251,5896,"Y",47.711106639839,81
"Antrozous_pallidus","m8",4.94e-07,0.226163108,5.7,27.6,16.7841891891892,"Y",156.667876270084,152,"Y",405.212742129236,991,"Y",6452.16558010912,6473,"Y",66.2308611542119,84
"Aphelocoma_californica","m8",6.33e-93,0.296710325,43.8,118.8,85.1860298742138,"Y",121.716997660047,188,"Y",455.460298794024,1393,"Y",7006.57610847783,7547,"Y",52.9727245455091,82
"Aplodontia_rufa","m10",0.002438011,0.099580307,335,1700.97,907.4166,"Y",79.7776725944959,101,"Y",1563.77273649334,2160,"N",5095.53336939617,4046,"Y",63.1339509094597,41
"Archilochus_colubris","m8",1.25e-08,0.16142254,1.1,5.2,2.84611538479878,"Y",120.790049797504,249,"Y",1059.85526438135,1606,"Y",8186.05463777999,11905,"Y",35.4842368170923,87
"Auriparus_flaviceps","m8",4.69e-10,0.208138829,4.5,13,6.82650655021834,"Y",186.635483808528,116,"Y",388.664189071482,712,"Y",6131.22591603275,5810,"Y",68.623841046784,80
