"SpName","modelName","pval","adjRsquare","MinMass_used","MaxMass_used","Mean_used","include_bio1","bio1_mean","bio1_breadth","include_bio12","bio12_mean","bio12_breadth","include_bio4","bio4_mean","bio4_breadth","include_bio15","bio15_mean","bio15_breadth"
"Baeolophus_bicolor","m10",1.01e-26,0.49919365,14.2,27.5,20.506632651115,"Y",134.315620445836,149,"N",1118.71604145301,787,"N",8321.27981864306,5500,"N",23.4134506396071,39
"Baeolophus_inornatus","m8",4.85e-24,0.193555656,10.4,21.5,16.0316373239437,"Y",132.894870349493,118,"Y",641.342277339346,1288,"Y",5603.0266065389,4379,"Y",79.1616685456595,42
"Baeolophus_ridgwayi","m10",1.64e-28,0.235250487,12.7,23.1,16.1863636363636,"Y",94.8876601671309,132,"Y",336.268272980501,404,"N",7974.05662952646,3041,"Y",40.1192479108635,62
"Baiomys_taylori","m10",4.3e-05,0.13449079,4,14.1,7.88089887640449,"Y",188.353298859237,120,"Y",733.02004781332,1143,"N",4992.41350726295,6751,"Y",73.324870722137,92
"Blarina_brevicauda","m10",2.26e-16,0.105722183,5,30.2,17.8732971516418,"Y",79.1128961460803,125,"Y",954.287941460493,822,"N",9795.26049977536,5065,"Y",25.945756970157,48
"Bombycilla_garrulus","m10",7.89e-10,0.220506259,30,95,58.003137254902,"Y",19.7916735388461,179,"Y",592.545304747122,1245,"N",10697.7282455056,10103,"Y",42.7802207626655,60
"Buteo_jamaicensis","m10",1.91e-41,0.261498365,268.3,1708,971.756582107772,"Y",107.958448693352,249,"Y",795.371676897489,1825,"N",7976.49973002883,11468,"Y",45.1089777219539,94
"Callipepla_californica","m8",1.52e-11,0.113786964,47.5,295.4,168.402384769539,"Y",105.924268591313,171,"Y",536.084160329939,1816,"Y",6692.29744812476,5844,"Y",51.4036216007217,76
"Callospermophilus_lateralis","m10",1.7e-06,0.042554588,61,345,174.664979973298,"Y",48.2822711300945,119,"Y",528.378216592674,1091,"N",7691.0740947251,3441,"Y",34.7730763565973,62
"Campylorhynchus_brunneicapillus","m8",5.32e-17,0.25461019,24.2,69,38.9345514950166,"Y",183.700540121267,127,"Y",379.529479648496,676,"Y",5980.77398147885,5747,"Y",70.297208585185,80
"Carduelis_flammea","m8",7.95e-06,0.046117124,7.1,21,13.064334900368,"Y",42.4839758309757,167,"Y",717.655510133111,1126,"Y",10200.8067101739,7639,"Y",38.169031972739,57
"Catharus_guttatus","m8",1.13e-107,0.32293025,11.2,44.7,26.5497886821243,"Y",81.7750055394998,237,"Y",766.483755121091,1554,"Y",8797.37275650244,10844,"Y",41.6987666951106,87
"Certhia_americana","m8",4.14e-09,0.087670996,5.7,13.1,7.8570576915741,"Y",81.3814825915536,198,"Y",836.472549407359,1581,"Y",8748.26434945433,9493,"Y",37.3600541966901,78
"Chaetodipus_baileyi","m8",4.99e-33,0.174898754,10,50,26.6427823050058,"Y",202.50014933397,106,"Y",283.076817394421,461,"Y",6449.35314497342,3075,"Y",74.2353503374948,69
"Chaetodipus_formosus","m10",3.55e-06,0.066788347,4.6,31.1,16.3496659242762,"Y",153.87114060761,140,"Y",185.771919699905,302,"N",7483.72888412548,4661,"Y",44.1709056432664,63
"Chaetodipus_intermedius","m10",1.83e-06,0.050433481,5.4,26,13.5829824561404,"Y",168.620844133889,117,"Y",288.513355122281,409,"N",7194.55578721966,3111,"Y",65.6744618505579,69
"Chaetodipus_penicillatus","m10",4.73e-14,0.119209904,5.8,32,16.616,"N",197.466180318769,100,"N",261.030172072001,491,"N",6671.17441122829,4215,"Y",70.6108952501784,75
"Chamaea_fasciata","m8",1.51e-31,0.228482472,8.89,24.4,14.6624058919804,"Y",126.072863394316,104,"Y",856.889439552908,1756,"Y",5280.73717509358,4199,"Y",77.9524437180366,36
"Chondestes_grammacus","m8",0.000113863,0.070921571,15,39.7,28.3354294478528,"Y",122.513069158231,204,"Y",585.70084865289,1177,"Y",7988.6069721432,10059,"Y",52.3904814167642,94
"Cistothorus_palustris","m10",7.04e-23,0.270805901,6,21.6,11.1489010989011,"Y",109.337664448406,201,"Y",727.42444692161,1391,"N",8463.08954720267,9368,"Y",41.7058469170175,75
"Coccothraustes_vespertinus","m8",1.16e-15,0.207160092,30.8,76.4,54.5238461516725,"Y",66.5072160094174,160,"Y",777.349587992937,1319,"Y",9143.0308534432,8571,"Y",35.2827153227389,71
"Contopus_sordidulus","m8",0.002341964,0.036143821,3.5,23.2,13.4738424871076,"Y",101.185839725158,262,"Y",613.181300866005,2341,"Y",7297.9759247322,11220,"Y",55.5457302131091,92
"Corvus_brachyrhynchos","m10",7.01e-39,0.335357068,131.7,640,378.665053409015,"Y",85.848667986803,193,"Y",766.839865648521,1318,"N",9028.3700504944,7850,"Y",37.4397855395212,63
"Corynorhinus_townsendii","m10",0.677801986,-0.019744722,2.3,18,8.65803571428571,"Y",134.450405661228,176,"Y",507.254985125755,1512,"N",6593.28383665374,7415,"Y",60.7192553862796,91
"Cratogeomys_castanops","m8",7.41e-19,0.143084242,86,519,272.317731629393,"Y",160.839630301872,123,"Y",367.040337218189,307,"Y",7068.95058750478,5993,"Y",66.6907957585021,48
"Cyanocitta_stelleri","m8",4.59e-226,0.413961139,48,202,113.739864797196,"Y",71.8727010025119,189,"Y",734.340822904395,2250,"Y",6888.68044990775,7582,"Y",46.0937737568631,85
"Dendroica_pinus","m10",0.007673139,0.088789495,7,15.5,12.3321167911056,"Y",122.050288143392,184,"Y",1126.60196222363,816,"N",8395.64682713588,6781,"Y",21.2300874290598,42
"Dipodomys_deserti","m8",0.011214367,0.060015412,30,150,95.4697969543147,"Y",179.736265884653,142,"Y",161.215786901271,237,"Y",7415.08704789834,3644,"Y",50.3997556207234,78
"Dipodomys_ordii","m8",1.02e-14,0.107939347,13.5,97.7,49.4653153153153,"Y",124.922909809085,156,"Y",380.858866479143,532,"Y",7701.51578191394,7147,"Y",55.363349093303,88
"Dipodomys_spectabilis","m10",0.0001172,0.154446554,45,162,115.074285714286,"Y",157.972997960571,116,"Y",340.493324269205,275,"N",6614.28464989803,5335,"Y",75.9018898708362,60
"Dumetella_carolinensis","m8",0.002588515,0.038691685,17,49.2,36.2447277227723,"Y",105.954656151445,238,"Y",887.800684328234,1584,"Y",8575.58452833711,11261,"Y",37.0622409923165,60
"Empidonax_difficilis","m8",0.006015175,0.029193242,5.1,14.9,10.6576572668113,"Y",124.373007093782,240,"Y",1003.08849467713,2698,"Y",5222.78193977897,7535,"Y",67.8274353796036,95
"Empidonax_oberholseri","m8",4.06e-05,0.050508479,9,15.1,11.6354921259843,"Y",104.630609062522,235,"Y",530.845239766437,1416,"Y",6817.88813555464,7813,"Y",54.2230004287302,96
"Empidonax_occidentalis","m10",0.017165002,0.032063946,8.9,14.1,11.7205423728814,"Y",97.8941342496012,240,"Y",527.211424714689,1145,"N",6881.57818137195,7981,"Y",53.2345379801202,98
"Eptesicus_fuscus","m8",9.88e-21,0.156076945,3.6,27,13.7915705128205,"Y",131.837647840356,206,"Y",795.540387522434,1624,"Y",7238.26630985564,9272,"Y",46.2239473540186,96
"Euphagus_cyanocephalus","m8",8.84e-103,0.462047881,18.6,115.9,65.2228285356696,"Y",102.43861712223,203,"Y",672.274227341235,1376,"Y",8556.55699532963,8668,"Y",44.4428688387325,75
"Falco_sparverius","m8",3.38e-26,0.184426788,27,188,98.4084153987004,"Y",112.012563061464,249,"Y",808.703320265435,1933,"Y",7882.29511987833,11564,"Y",45.3243632962198,94
"Geomys_bursarius","m10",5.26e-37,0.255904893,46,340,171.107142857143,"Y",113.980283403707,117,"Y",656.647689591832,625,"N",9670.90098761898,4340,"Y",50.9918891194924,44
"Geothlypis_trichas","m10",1.55e-16,0.08692813,5,18.7,10.0837897037494,"Y",104.628842511426,257,"Y",815.839298066451,2003,"N",8165.42592546012,11800,"Y",43.5127427627094,85
"Haemorhous_purpureus","m8",9.53e-26,0.224069459,11.1,41.1,23.6744466019417,"Y",85.1612067254404,190,"Y",907.84782565061,1279,"Y",9209.7726517495,7896,"Y",33.969026755905,69
"Ictidomys_tridecemlineatus","m8",5.1e-20,0.443958626,32.1,210,109.284916201117,"Y",84.1145873824147,151,"Y",607.27379888051,760,"Y",9955.09376214724,5381,"Y",48.6512429060095,49
"Ixoreus_naevius","m10",0.034830552,0.024398444,42.9,106.7,77.6761077844311,"Y",27.4016067430528,215,"Y",726.678655779446,2360,"N",8569.2837876992,10504,"Y",44.730664208262,65
"Junco_hyemalis","m8",3.32e-38,0.112526034,8.8,31,18.945800757823,"Y",67.7110918869698,231,"Y",731.478875387724,1397,"Y",9436.24590762927,9341,"Y",40.2238661392675,73
"Lanius_ludovicianus","m8",2.27e-09,0.0944242,18.3,63.1,46.4488484863898,"Y",126.964771209303,198,"Y",677.594797381565,1323,"Y",7835.41444450936,9054,"Y",46.5100548630238,94
"Lasionycteris_noctivagans","m8",5.34e-12,0.283090937,3,17,9.59932291666667,"Y",96.1085902497395,160,"Y",719.81165185246,1277,"Y",8425.35176713211,5719,"Y",37.2074088447406,71
"Lepus_americanus","m8",3.09e-30,0.216656993,350,2059,1358.35821829856,"Y",23.1792014799082,159,"Y",700.682591230644,1440,"Y",10120.438297942,9625,"Y",38.7015750625666,61
"Loxia_curvirostra","m8",7.68e-31,0.101332244,12.4,47,32.117078308814,"Y",71.7057314793738,177,"Y",775.981215675085,1778,"Y",8810.51302944128,9785,"Y",39.5550080311886,77
"Macrotus_californicus","m10",8.21e-06,0.100455886,6.9,23,12.7692057761733,"Y",209.716466957881,81,"Y",292.158457900854,836,"N",5832.13785917525,4504,"Y",77.1976916603214,75
"Martes_americana","m10",1.73e-97,0.476420812,340,1571,811.172853185596,"Y",13.444630511164,160,"Y",758.578082851638,2027,"N",9864.53458857531,10264,"Y",39.091289810722,61
"Megaceryle_alcyon","m8",0.002000361,0.071173013,52.3,208,148.053859649123,"Y",104.847750140248,256,"Y",832.982119339236,2164,"Y",8015.13979972891,11791,"Y",44.3745259873308,93
"Megascops_asio","m8",2.86e-23,0.268401715,42,269.2,152.851968503937,"Y",128.553810834911,171,"Y",1000.74280775308,1027,"Y",8573.04845282606,6862,"Y",29.366773305383,54
"Megascops_kennicottii","m8",2.33e-38,0.384731021,59,246.1,140.076742424242,"Y",120.915941353228,180,"Y",564.336845922702,2238,"Y",6715.73224018236,6716,"Y",57.2350430007253,85
"Melanerpes_carolinus","m10",5.12e-15,0.321961828,23.5,97.2,75.0402512524475,"Y",131.032533379257,158,"Y",1092.16713434771,840,"N",8491.36210669206,6477,"Y",25.649836902567,44
"Melanerpes_formicivorus","m8",1.09e-07,0.104954275,36.4,102.5,72.8202465753425,"Y",166.790248421928,194,"Y",860.277584878213,2413,"Y",4358.93936219034,6784,"Y",79.9763267497337,73
"Melospiza_georgiana","m8",0.005450957,0.068177679,7.5,24.7,17.0597014944352,"Y",75.4333794066209,238,"Y",847.559821990168,1106,"Y",10005.0566169062,8562,"Y",34.9078777434474,55
"Melozone_crissalis","m10",6.63e-49,0.354480898,23.2,68.9,50.038333331936,"Y",143.309813395535,166,"Y",596.91273742086,1509,"N",5344.05648117294,4437,"Y",79.643368877041,52
"Melozone_fusca","m10",0.000128661,0.08330202,14.7,65.8,44.8603053435114,"Y",162.090993111202,152,"Y",489.40090326146,853,"N",5906.5808981163,6700,"Y",72.5149066725105,78
"Microtus_californicus","m8",3.61e-15,0.08958913,10.4,82,42.0046218487395,"Y",150.677095709571,99,"Y",548.694719471947,1532,"Y",5330.14475247525,5165,"Y",79.5209900990099,41
"Microtus_longicaudus","m10",1.84e-22,0.035788754,8,63,32.0435405759162,"Y",50.9658540167425,136,"Y",719.568470301912,2304,"N",7466.62577890607,4971,"Y",37.2414608816063,60
"Microtus_montanus","m8",1.04e-05,0.031701589,7.5,59,29.9714332603939,"Y",59.8455212400899,124,"Y",435.504851496864,803,"Y",7843.78191929949,3179,"Y",33.2035755137459,58
"Microtus_ochrogaster","m8",1.13e-30,0.174208351,9.7,72.3,38.1009577114428,"Y",106.524075869827,98,"Y",765.064916023428,1030,"Y",9455.3708467476,3312,"Y",42.241278460882,55
"Microtus_oregoni","m8",6.36e-30,0.182323173,5,33.7,17.6194645247657,"Y",88.1773305658334,74,"Y",1750.80768883675,2080,"Y",4823.71491742622,3133,"Y",61.9330385344283,38
"Microtus_pennsylvanicus","m10",8.3e-07,0.085824396,8.5,61,31.131875,"Y",34.1301397132793,201,"Y",686.049761268694,1171,"N",10438.0691348232,8591,"Y",38.6210524236318,59
"Microtus_pinetorum","m10",4.69e-08,0.337222833,9.6,51,27.5735576923077,"Y",131.858413736939,134,"Y",1152.33919278921,714,"N",8302.48586552928,4065,"Y",20.1264924703576,37
"Mimus_polyglottos","m8",7.07e-14,0.253285518,18,92,46.9254,"Y",144.074173513902,194,"Y",806.479440775066,1424,"Y",7149.59250556246,8995,"Y",45.5659261724978,98
"Mniotilta_varia","m8",0.001639472,0.05157038,5.7,19.5,10.3965846130371,"Y",105.574591524932,268,"Y",966.089249644513,1890,"Y",8460.5539226242,12480,"Y",41.5033448595586,94
"Mustela_erminea","m8",6.76e-58,0.434603347,27,182,89.53024,"Y",17.6044791564009,199,"Y",692.810264117473,1731,"Y",10290.61901383,9647,"Y",40.4880030222398,61
"Mustela_frenata","m8",1.56e-11,0.40199659,74,410,213.000245901639,"Y",109.936306631337,252,"Y",795.24997168317,1689,"Y",7444.99774022419,9385,"Y",43.5181942590182,93
"Myadestes_townsendi","m8",5.47e-05,0.10735752,18.1,50,33.8219650655022,"Y",76.3160228521058,205,"Y",523.706795863648,1547,"Y",7939.59041173191,6850,"Y",46.3727657926282,73
"Myiarchus_cinerascens","m10",9.76e-05,0.073326911,16.2,56,28.190325732899,"Y",154.599088307862,190,"Y",491.464031595775,1208,"N",6279.76701698452,7881,"Y",63.5194540594033,92
"Myodes_californicus","m8",1.71e-35,0.211138855,5.9,33.9,21.8898929049531,"Y",87.4759840273816,81,"Y",1502.28214489447,1781,"Y",5110.07666856817,3577,"Y",69.3816314888762,25
"Myodes_gapperi","m8",5.67e-39,0.073819494,5.3,39.2,20.1173418225229,"Y",32.5678558846209,138,"Y",783.942603665462,1372,"Y",9982.08361480868,8141,"Y",33.6986698595949,55
"Myotis_lucifugus","m8",9.46e-54,0.291708242,1.88,12.8,6.63175587467363,"Y",67.2167071823204,143,"Y",793.826824519863,1781,"Y",9053.79334280453,7447,"Y",35.2017405945804,61
"Myotis_velifer","m10",6.88e-06,0.104357231,2.2,16,8.29303703703704,"Y",182.211373340215,115,"Y",615.829756486651,1324,"N",5401.15594238258,8099,"Y",73.8014920471074,80
"Myotis_volans","m8",1.88e-12,0.290516703,3.4,10.1,6.54036269430052,"Y",88.9667818121338,173,"Y",477.970169647655,1321,"Y",7353.44895985261,6703,"Y",49.8935953532407,87
"Myotis_yumanensis","m8",0.041866397,0.036003223,1.65,10.2,5.19671361502347,"Y",146.560144619786,174,"Y",512.600507398632,1641,"Y",6158.02093298762,7293,"Y",67.3557657919442,87
"Napaeozapus_insignis","m10",0.001318552,0.108463153,10,37,20.9062937062937,"Y",54.9707451664604,112,"Y",986.928536649693,696,"N",9872.45975938812,4541,"Y",18.7304680367613,35
"Neotoma_albigula","m8",9.94e-22,0.057843857,40,306,155.191180292366,"Y",164.310264037161,167,"Y",314.563645994621,524,"Y",6887.79512672154,4050,"Y",70.3838725450249,83
"Neotoma_cinerea","m8",0.009337239,0.053963133,77,455.4,232.909429824561,"Y",62.2501366151324,131,"Y",528.781962248685,1687,"Y",7884.70887315285,4965,"Y",38.8107254263531,59
"Neotoma_fuscipes","m8",1.04e-06,0.166774318,64.2,415.5,218.098469387755,"Y",116.920795016316,99,"Y",856.101676060516,1481,"Y",5467.49495698606,4411,"Y",75.7550430139425,53
"Neotoma_lepida","m8",3.7e-19,0.141732716,32,224,116.291744548287,"Y",142.788565502703,160,"Y",244.69489306722,483,"Y",7052.46118799089,5964,"Y",49.1276903199483,84
"Neovison_vison","m8",5.19e-64,0.479813312,206,1540,792.680187110187,"Y",62.5936008560415,242,"Y",777.116075615022,1493,"Y",9347.00840754857,9565,"Y",37.4425045675625,60
"Neurotrichus_gibbsii","m8",7.63e-37,0.147908784,3.9,16.9,9.20496503496503,"Y",94.1911685926379,99,"Y",1542.927527359,2032,"Y",4877.80324481518,3378,"Y",65.8347746230964,47
"Notiosorex_crawfordi","m8",1.55e-14,0.303656283,1.3,5.5,3.09150943396226,"Y",170.844158435598,149,"Y",385.571966295702,638,"Y",6286.61167496576,6158,"Y",71.2300164167869,73
"Onychomys_leucogaster","m8",7.73e-14,0.176874869,9.5,54,28.8299191374663,"Y",109.396344344688,182,"Y",396.982457365007,560,"Y",8339.61694553031,5282,"Y",50.4388128785601,67
"Onychomys_torridus","m10",3.08e-08,0.099021843,6,43,21.5772213930348,"Y",151.834307162481,202,"Y",318.741748249042,651,"N",6912.37549820067,4092,"Y",58.5521998220021,100
"Oreoscoptes_montanus","m8",0.470864973,-0.001892106,27,59,43.3032777777778,"Y",112.935549535408,208,"Y",367.714069422994,652,"Y",7708.99708838646,5095,"Y",46.9884497556776,73
"Oryzomys_palustris","m8",1.57e-20,0.362410471,11.1,83.8,43.3633333333333,"Y",178.368296393624,100,"Y",1317.20065004668,703,"Y",6774.85166488019,4764,"Y",23.2577884582138,46
"Otospermophilus_beecheyi","m8",0.019693237,0.046987553,130.4,980,513.120319634703,"Y",120.214331983806,133,"Y",720.701336032389,1685,"Y",5632.14076923077,4544,"Y",74.527004048583,45
"Passerculus_sandwichensis","m8",2.19e-44,0.165178342,10,31.4,18.447823577906,"Y",72.3643799309854,364,"Y",725.31349181117,1521,"Y",8902.4923723331,12802,"Y",44.42131164583,90
"Perisoreus_canadensis","m8",1.45e-78,0.388769437,35.2,103.8,69.1320258064516,"Y",0.429062179089202,152,"Y",657.542698504899,1328,"Y",11201.6149453505,10072,"Y",39.9002578104585,57
"Perognathus_flavus","m8",4.67e-08,0.118445636,3,14,7.08145400593472,"Y",145.478731731378,138,"Y",400.973997705365,508,"Y",6679.05622929199,7549,"Y",69.0668661069472,78
"Perognathus_longimembris","m8",0.00010156,0.065780135,3,12.2,7.49887640449438,"Y",152.045780434938,150,"Y",215.606769406665,396,"Y",7161.6207274373,5613,"Y",48.8582045113498,74
"Perognathus_parvus","m8",3.89e-07,0.075027526,6,31,16.6091858037578,"Y",82.5494041388935,92,"Y",308.081749573073,434,"Y",7988.97851594778,3295,"Y",32.0665821994528,47
"Peromyscus_boylii","m8",2.21e-26,0.071054627,6.6,43.1,22.5568037798777,"Y",137.156983761481,151,"Y",474.497376327886,1081,"Y",6433.71327073043,6259,"Y",67.8000530726496,82
"Peromyscus_crinitus","m10",1.63e-07,0.096069163,7,27.5,14.6774074074074,"Y",138.688187535735,166,"Y",235.330131503716,432,"N",7463.2590051458,5290,"Y",45.1420011435106,64
"Peromyscus_eremicus","m8",3.12e-30,0.117047505,4.8,36.98,19.1063322368421,"Y",182.555286700848,128,"Y",342.616668410589,692,"Y",6100.22279481009,5432,"Y",74.9814010672805,81
"Peromyscus_leucopus","m8",1.41e-60,0.152186712,6,41.2,21.4743232659004,"Y",135.621920552184,198,"Y",899.160424308762,1289,"Y",7919.33768887538,8830,"Y",39.0224743489168,87
"Peromyscus_maniculatus","m8",1.43e-67,0.033755903,5.2,34.2,17.3936708993598,"Y",95.2879878735727,214,"Y",702.58961140909,1509,"Y",8245.25301107867,9478,"Y",43.8207689705346,91
"Peromyscus_truei","m8",1.26e-31,0.098425005,6.5,44.1,22.3888188976378,"Y",105.381609491875,123,"Y",411.843349668988,1145,"Y",7409.13082495056,5379,"Y",49.9734868025105,74
"Phalaenoptilus_nuttallii","m8",0.00057799,0.060499204,21,62,44.1209090909091,"Y",115.762801521741,202,"Y",430.999946359458,989,"Y",7601.81914472218,6279,"Y",51.9737780271834,81
"Phenacomys_intermedius","m8",0.044299435,0.040787983,7.4,46,23.5941326530612,"Y",28.2243310404437,104,"Y",831.356286239061,2003,"Y",7457.27523679187,4471,"Y",33.5362480642489,53
"Picoides_pubescens","m8",9.01e-18,0.142108876,10.3,45,26.1556711409396,"Y",84.6824080634546,186,"Y",780.148537413306,1296,"Y",9026.72303163819,7783,"Y",37.3858835686408,65
"Picoides_villosus","m8",7.1e-111,0.47317275,22.3,118,66.7085817215993,"Y",82.4254990849261,202,"Y",811.601354192951,1722,"Y",8759.78271569489,10540,"Y",39.6291457475905,78
"Pinicola_enucleator","m8",7.96e-23,0.260634141,33.4,97,58.4054263447606,"Y",17.8822786330123,151,"Y",704.592894481936,1381,"Y",10655.7502341555,9321,"Y",38.4064602896323,56
"Pipilo_erythrophthalmus","m10",1.48e-05,0.087906177,12.6999998092651,60,41.284851484519,"Y",123.118099132443,165,"Y",1082.5578835438,808,"N",8602.21139461759,5937,"Y",24.1520803574281,43
"Pipilo_maculatus","m8",5.05e-95,0.194616407,10.2,61,39.8887345971564,"Y",106.761435472654,183,"Y",569.013429098042,1576,"Y",7804.52428995126,8845,"Y",50.3560145580654,76
"Pipistrellus_hesperus","m10",1.55e-11,0.2522682,2,7,3.67147804878049,"Y",174.543468292288,156,"Y",385.317598611748,878,"N",5818.1834039148,6215,"Y",74.6727627473723,85
"Poecile_atricapillus","m8",1.33e-34,0.425062279,4.1,17.6,12.3364556949953,"Y",52.6581858193168,131,"Y",711.83932735929,1240,"Y",9856.93669434528,7497,"Y",38.0217432501943,57
"Poecile_gambeli","m8",6.21e-21,0.119997197,6.7,20.3,11.319412470024,"Y",72.1442468970144,177,"Y",500.594326568266,1258,"Y",7692.9515368165,4503,"Y",42.164028430057,72
"Polioptila_caerulea","m10",0.00579039,0.05255773,3.22,8.9,5.67763265306122,"Y",147.375397819732,203,"Y",871.506000297614,1503,"N",7083.97090575692,9354,"Y",43.1151673122987,98
"Pooecetes_gramineus","m8",3.78e-22,0.169415445,12,41,24.80799342168,"Y",100.951356054015,201,"Y",706.292299494615,1245,"Y",8637.25169434801,8703,"Y",41.487610414258,81
"Procyon_lotor","m10",0.009660248,0.111500339,960,7257,4232.90480769231,"Y",143.936390194492,207,"Y",931.999845592277,2125,"N",6963.94552907291,10059,"Y",48.1607610859598,98
"Psaltriparus_minimus","m10",7.8e-42,0.189301119,3,8.8,5.58483572895277,"Y",120.560684588067,169,"Y",554.81613796179,1734,"N",6551.68860161956,7556,"Y",56.5357657564568,93
"Regulus_satrapa","m8",1.26e-08,0.091222634,2,9.1,5.91336152179549,"Y",78.4814110351524,207,"Y",872.318499073402,1659,"Y",8776.97217436335,8904,"Y",34.5225184586874,70
"Reithrodontomys_fulvescens","m10",0.007929093,0.039108021,5.2,18.5,11.6190938511327,"Y",189.4060604158,122,"Y",911.354842760385,1475,"N",5095.8747576854,7635,"Y",64.1680858912076,99
"Reithrodontomys_megalotis","m8",5.72e-16,0.078705486,3,19,10.0645754245754,"Y",123.722965449161,154,"Y",505.696236920039,1157,"Y",7454.47464165844,8952,"Y",58.6143928923988,85
"Salpinctes_obsoletus","m8",0.000138246,0.074978116,8.9,27,16.398642384106,"Y",110.07982044,213,"Y",455.708244447644,1100,"Y",7425.4764294782,8100,"Y",53.7276826028347,87
"Sciurus_carolinensis","m8",3.15e-05,0.142863563,158.8,984.2,550.682346368715,"Y",124.904050451189,161,"Y",1101.22579470878,834,"Y",8469.55974671862,6938,"Y",23.6331983182937,47
"Sciurus_griseus","m8",0.506009284,-0.006600989,346.2,977,747.147058823529,"Y",120.257793511571,111,"Y",843.307777660361,1539,"Y",5426.30529430413,4222,"Y",77.0066575081898,39
"Setophaga_ruticilla","m8",0.000199612,0.058761246,2.4,12.5,8.1747580640034,"Y",96.7816524697132,264,"Y",882.29589115718,1836,"Y",8563.50407457684,12204,"Y",40.7739704463217,81
"Sialia_mexicana","m8",3.11e-07,0.097672536,11.6,39.9,26.1498378378378,"Y",106.77932784176,192,"Y",524.284492330734,1730,"Y",6839.94750942519,6803,"Y",53.7696250581005,83
"Sialia_sialis","m8",0.435459307,5.64e-05,11.3,44,29.0139669500304,"Y",113.513450636505,196,"Y",936.683741824056,1137,"Y",8700.50083496103,10909,"Y",36.1063002100342,81
"Sigmodon_hispidus","m10",1.43e-17,0.09772368,21,165,83.4340256709452,"Y",169.967735758057,117,"Y",890.258929584657,1303,"N",7386.63800073763,5937,"Y",40.3012653200182,66
"Sitta_canadensis","m8",0.009112398,0.034047031,5.3,13.8,10.3353719008264,"Y",75.0022937026766,196,"Y",787.575697331164,1410,"Y",9159.61010581008,8089,"Y",36.8853089886402,64
"Sitta_carolinensis","m10",2.67e-77,0.354371887,5.2,30,18.1820352932201,"Y",93.9576507735785,178,"Y",796.567715582217,1217,"N",8743.80452542419,9254,"Y",38.8875371560535,80
"Sitta_pygmaea","m8",4.01e-05,0.060428051,5.3,14.4,10.4828773584906,"Y",83.296574253929,169,"Y",525.273176761434,1085,"Y",7028.32617428925,7317,"Y",50.5035905585967,88
"Sorex_bendirii","m8",1.07e-10,0.276474458,8.4,27.2,15.6830508474576,"Y",92.9230928047899,62,"Y",1753.16382781047,2132,"Y",4711.99298028285,3113,"Y",61.55321564984,40
"Sorex_monticolus","m10",1.93e-282,0.171299515,1.9,11.5,6.04236456704109,"Y",32.0376081512103,156,"Y",740.636426762708,2187,"N",7897.33032585398,7489,"Y",40.3688228241296,61
"Sorex_ornatus","m8",7.27e-11,0.249172343,1.8,7.5,4.63712871287129,"Y",147.415001674294,98,"Y",490.015515124456,739,"Y",5172.32358522156,4574,"Y",85.426944971537,26
