"SpName","modelName","pval","adjRsquare","MinMass_used","MaxMass_used","Mean_used","es_bio1","pval_bio1","adjPval_bio1","sig_bio1_f","sig_bio1_nf","bio1_mean","bio1_breadth","es_bio12","pval_bio12","adjPval_bio12","sig_bio12_f","sig_bio12_nf","bio12_mean","bio12_breadth","es_bio4","pval_bio4","adjPval_bio4","sig_bio4_f","sig_bio4_nf","bio4_mean","bio4_breadth","es_bio15","pval_bio15","adjPval_bio15","sig_bio15_f","sig_bio15_nf","bio15_mean","bio15_breadth"
"Microtus_californicus","m8",1.37600388205937e-17,0.0982528425801763,10.3,82,41.61096131,-0.0617218299631498,0.0827563546098242,0.145890068435876,"NS","NS",150.677095709571,99,-0.100253102684824,0.00737337167862721,0.02530078517176,"Neg","Neg",548.694719471947,1532,0.21010317776513,5.61782737597655e-08,3.50033859580077e-07,"Pos","Pos",5330.14475247525,5165.275,-0.122780839858464,0.00065779610173386,0.00319761993898404,"Neg","Neg",79.5209900990099,41
"Microtus_longicaudus","m10",4.45000731822426e-22,0.0337940049230703,8,63,31.92171044,0.0859794234878861,5.60552082431615e-06,3.30532434813125e-05,"Pos","Pos",50.9658540167425,136,0.115350401185885,3.77296563334697e-09,4.4017932389048e-08,"Pos","Pos",719.568470301912,2304,-9999,-9999,-9999,"Exl","Exl",7466.62577890607,4971,0.0902885528340552,6.43102328485179e-06,6.6201710285239e-05,"Pos","Pos",37.2414608816063,60
"Microtus_montanus","m8",2.9699860880079e-07,0.0378689016393448,7.5,59,29.742,-0.0366313992992043,0.343596460881066,0.470039958485298,"NS","NS",59.8455212400899,124,-0.0860315707746469,0.0353943476322869,0.0848494635020576,"NS","Neg",435.504851496864,803,-9999,-9999,-9999,"Exl","Exl",7843.78191929949,3179,0.163191582784091,0.000448225472535056,0.00232581864240539,"Pos","Pos",33.2035755137459,58
"Microtus_ochrogaster","m8",1.38813916996005e-24,0.140680072542824,9.7,72.3,38.08569479,0.283294507548922,2.11362699118378e-14,5.75157992746553e-13,"Pos","Pos",106.524075869827,98,-0.0800706278962658,0.0422170542393678,0.0985064598918582,"NS","Neg",765.064916023428,1030,-9999,-9999,-9999,"Exl","Exl",9455.3708467476,3312,0.0680112458670186,0.041522354924385,0.0875471338767154,"NS","Pos",42.241278460882,55
"Microtus_oregoni","m8",1.32391283751104e-27,0.164326545260428,5,33.7,17.54427822,-0.323148784939796,6.74076245721874e-15,2.30534076036881e-13,"Neg","Neg",88.1773305658334,74,-0.0615345432361936,0.110279324117742,0.216841367647245,"NS","NS",1750.80768883675,2080,-9999,-9999,-9999,"Exl","Exl",4823.71491742622,3133,0.0139750448525321,0.722562429206007,0.805403981599052,"NS","NS",61.9330385344283,38
"Microtus_pennsylvanicus","m10",7.74260683942217e-07,0.0809637550481291,8.5,61,31.07370558,0.279317204503721,7.05093260144578e-06,4.01903158282409e-05,"Pos","Pos",34.1301397132793,201,-0.064882668106394,0.304060322563735,0.462700490857858,"NS","NS",686.049761268694,1171,-9999,-9999,-9999,"Exl","Exl",10438.0691348232,8591,0.233145611362008,4.69419616569703e-05,0.000304253455184067,"Pos","Pos",38.6210524236318,59
"Microtus_pinetorum","m8",3.62978512340572e-06,0.260918686872677,9.6,51,27.56588785,0.0585582332997943,0.668582661850153,0.757136656797193,"NS","NS",131.858413736939,134,-0.0538967027366704,0.623008209199425,0.73666511222905,"NS","NS",1152.33919278921,714,-9999,-9999,-9999,"Exl","Exl",8302.48586552928,4065,0.0898541094426366,0.401033239807757,0.54105735994621,"NS","NS",20.1264924703576,37
"Mimus_polyglottos","m8",9.02911332321787e-22,0.299203206492512,12.6,92,45.2763754,0.227196443247504,5.66727923543154e-05,0.000255027565594419,"Pos","Pos",144.074173513902,194,-0.183214871437417,0.000958693541017353,0.00481329519897769,"Neg","Neg",806.479440775066,1424,0.311381162730074,4.84657910305623e-07,2.61715271565036e-06,"Pos","Pos",7149.59250556246,8995,-0.107197277901904,0.0884890600842251,0.17399534286224,"NS","NS",45.5659261724978,98
"Mniotilta_varia","m10",0.0588437629685519,0.0160782137752933,5,19.5,10.31394805,-0.0308962250550641,0.658271633285833,0.75042966194585,"NS","NS",105.574591524932,268,0.0367353216439138,0.519496712203089,0.658782062576381,"NS","NS",966.089249644513,1890,-9999,-9999,-9999,"Exl","Exl",8460.5539226242,12480,-0.123763523157201,0.0366088336788398,0.0800818236724621,"NS","Neg",41.5033448595586,94
"Molothrus_ater","m10",4.47808610302954e-52,0.113073440035944,11.6,79.6,41.71724951,-0.162332026565246,1.36982570270485e-08,1.37788350095605e-07,"Neg","Neg",105.476662189389,211,0.0919917111948133,0.00215513292663287,0.00942870655401881,"Pos","Pos",737.382714673964,1340,-9999,-9999,-9999,"Exl","Exl",8392.94258048117,9755,-0.112689383253494,0.000858939627074421,0.00375786086845059,"Neg","Neg",42.8740938219843,91
"Mustela_erminea","m8",6.13005476609119e-32,0.259607416676721,27,182,89.63768061,-0.270998596379767,3.80951287581915e-05,0.00018095186160141,"Neg","Neg",17.6044791564009,199,0.0199321192762438,0.71191578245047,0.793536700183645,"NS","NS",692.810264117473,1731,0.0873119073954825,0.236875316810997,0.355312975216496,"NS","NS",10290.61901383,9646.525,-0.173094654065786,2.51452080686724e-05,0.000191322235305116,"Neg","Neg",40.4880030222398,61
"Mustela_frenata","m8",0.111911737224388,0.0388135301093174,74,410,212.14984,0.0660168083179044,0.565910728177662,0.676718423205456,"NS","NS",109.936306631337,252,-0.175036220908247,0.0705974787889747,0.152525417136674,"NS","NS",795.24997168317,1689,-0.240427991879175,0.0350048050542513,0.0675092668903418,"NS","Neg",7444.99774022419,9385,-0.10931727177975,0.343114226988712,0.476598348601678,"NS","NS",43.5181942590182,93
"Myadestes_townsendi","m8",5.3647965993173e-05,0.0960235178787795,13,50,33.81348178,-0.228417019368274,0.00730699867839786,0.0181086488986382,"Neg","Neg",76.3160228521058,205,0.0520464432711934,0.440515294830966,0.592925727266733,"NS","NS",523.706795863648,1546.75,0.0765201470387964,0.296034435338808,0.405282355822642,"NS","NS",7939.59041173191,6850,-0.0524878570453181,0.472516435163328,0.608017471717518,"NS","NS",46.3727657926282,73
"Myiarchus_cinerascens","m8",0.000108684472143025,0.0679783036005923,15.4,56,28.02722561,-0.0243125798872149,0.734589854123175,0.786929957292596,"NS","NS",154.599088307862,190,0.00502101113042476,0.931277700751012,0.937578922899027,"NS","NS",491.464031595775,1208,0.0426936445309191,0.524751199641678,0.607212102442513,"NS","NS",6279.76701698452,7881,-0.14143654664892,0.01366521404485,0.0419546045236623,"Neg","Neg",63.5194540594033,92
"Myodes_californicus","m10",2.82650085146965e-35,0.201994649009156,5.9,33.9,21.85686922,0.266355382930767,2.01728185761998e-10,2.66237426806507e-09,"Pos","Pos",87.4759840273816,81,0.0512027403458022,0.321038611774383,0.476116585258619,"NS","NS",1502.28214489447,1781,-9999,-9999,-9999,"Exl","Exl",5110.07666856817,3576.8,0.0311383581187948,0.396948809730334,0.54105735994621,"NS","NS",69.3816314888762,25
"Myodes_gapperi","m8",2.28089316734738e-41,0.074753447887133,5.3,39.2,20.01591593,-0.103017201056554,0.000479500621360054,0.00190685130819928,"Neg","Neg",32.5678558846209,138,0.0240091623299826,0.36595115822461,0.529268204043857,"NS","NS",783.942603665462,1372,-0.225000538154042,3.89286720950327e-11,3.15322243969765e-10,"Neg","Neg",9982.08361480868,8141,-0.0865368139670244,1.00943010112083e-05,9.75650024054051e-05,"Neg","Neg",33.6986698595949,55
"Myotis_californicus","m8",8.10986693038898e-07,0.114236226855981,1.5,8.3,4.347692308,-0.224933622417675,0.00542616778174973,0.0142749952412185,"Neg","Neg",154.243623612198,177,0.116242178375448,0.222987060590835,0.371645100984725,"NS","NS",545.91634061531,1789,0.0177544233782251,0.804260880623277,0.868601751073139,"NS","NS",5782.55540323482,7634.94999999998,-0.0660073375421769,0.422113280923999,0.551381062634891,"NS","NS",68.893829833552,87
"Myotis_lucifugus","m8",1.12740464775729e-32,0.180274600098774,1.8,12.8,6.599364198,-0.328353208045694,2.88425067812116e-14,6.16508582448398e-13,"Neg","Neg",67.2167071823204,143,0.0585781072721802,0.238855090025317,0.387033710689171,"NS","NS",793.826824519863,1781,-0.0728457231503506,0.231394394150601,0.355312975216496,"NS","NS",9053.79334280453,7447,-0.0881480903201321,0.0168527282314153,0.0460816787577762,"Neg","Neg",35.2017405945804,61
